Period,Value
Jan-63,42
Feb-63,35
Mar-63,44
Apr-63,52
May-63,58
Jun-63,48
Jul-63,62
Aug-63,56
Sep-63,49
Oct-63,44
Nov-63,39
Dec-63,31
Jan-64,39
Feb-64,46
Mar-64,53
Apr-64,49
May-64,52
Jun-64,53
Jul-64,54
Aug-64,56
Sep-64,48
Oct-64,45
Nov-64,37
Dec-64,33
Jan-65,38
Feb-65,44
Mar-65,53
Apr-65,49
May-65,54
Jun-65,57
Jul-65,51
Aug-65,58
Sep-65,48
Oct-65,44
Nov-65,42
Dec-65,37
Jan-66,42
Feb-66,43
Mar-66,53
Apr-66,49
May-66,49
Jun-66,40
Jul-66,40
Aug-66,36
Sep-66,29
Oct-66,31
Nov-66,26
Dec-66,23
Jan-67,29
Feb-67,32
Mar-67,41
Apr-67,44
May-67,49
Jun-67,47
Jul-67,46
Aug-67,47
Sep-67,43
Oct-67,45
Nov-67,34
Dec-67,31
Jan-68,35
Feb-68,43
Mar-68,46
Apr-68,46
May-68,43
Jun-68,41
Jul-68,44
Aug-68,47
Sep-68,41
Oct-68,40
Nov-68,32
Dec-68,32
Jan-69,34
Feb-69,40
Mar-69,43
Apr-69,42
May-69,43
Jun-69,44
Jul-69,39
Aug-69,40
Sep-69,33
Oct-69,32
Nov-69,31
Dec-69,28
Jan-70,34
Feb-70,29
Mar-70,36
Apr-70,42
May-70,43
Jun-70,44
Jul-70,44
Aug-70,48
Sep-70,45
Oct-70,44
Nov-70,40
Dec-70,37
Jan-71,45
Feb-71,49
Mar-71,62
Apr-71,62
May-71,58
Jun-71,59
Jul-71,64
Aug-71,62
Sep-71,50
Oct-71,52
Nov-71,50
Dec-71,44
Jan-72,51
Feb-72,56
Mar-72,60
Apr-72,65
May-72,64
Jun-72,63
Jul-72,63
Aug-72,72
Sep-72,61
Oct-72,65
Nov-72,51
Dec-72,47
Jan-73,55
Feb-73,60
Mar-73,68
Apr-73,63
May-73,65
Jun-73,61
Jul-73,54
Aug-73,52
Sep-73,46
Oct-73,42
Nov-73,37
Dec-73,30
Jan-74,37
Feb-74,44
Mar-74,55
Apr-74,53
May-74,58
Jun-74,50
Jul-74,48
Aug-74,45
Sep-74,41
Oct-74,34
Nov-74,30
Dec-74,24
Jan-75,29
Feb-75,34
Mar-75,44
Apr-75,54
May-75,57
Jun-75,51
Jul-75,51
Aug-75,53
Sep-75,46
Oct-75,46
Nov-75,46
Dec-75,39
Jan-76,41
Feb-76,53
Mar-76,55
Apr-76,62
May-76,55
Jun-76,56
Jul-76,57
Aug-76,59
Sep-76,58
Oct-76,55
Nov-76,49
Dec-76,47
Jan-77,57
Feb-77,68
Mar-77,84
Apr-77,81
May-77,78
Jun-77,74
Jul-77,64
Aug-77,74
Sep-77,71
Oct-77,63
Nov-77,55
Dec-77,51
Jan-78,57
Feb-78,63
Mar-78,75
Apr-78,85
May-78,80
Jun-78,77
Jul-78,68
Aug-78,72
Sep-78,68
Oct-78,70
Nov-78,53
Dec-78,50
Jan-79,53
Feb-79,58
Mar-79,73
Apr-79,72
May-79,68
Jun-79,63
Jul-79,64
Aug-79,68
Sep-79,60
Oct-79,54
Nov-79,41
Dec-79,35
Jan-80,43
Feb-80,44
Mar-80,44
Apr-80,36
May-80,44
Jun-80,50
Jul-80,55
Aug-80,61
Sep-80,50
Oct-80,46
Nov-80,39
Dec-80,33
Jan-81,37
Feb-81,40
Mar-81,49
Apr-81,44
May-81,45
Jun-81,38
Jul-81,36
Aug-81,34
Sep-81,28
Oct-81,29
Nov-81,27
Dec-81,29
Jan-82,28
Feb-82,29
Mar-82,36
Apr-82,32
May-82,36
Jun-82,34
Jul-82,31
Aug-82,36
Sep-82,39
Oct-82,40
Nov-82,39
Dec-82,33
Jan-83,44
Feb-83,46
Mar-83,57
Apr-83,59
May-83,64
Jun-83,59
Jul-83,51
Aug-83,50
Sep-83,48
Oct-83,51
Nov-83,45
Dec-83,48
Jan-84,52
Feb-84,58
Mar-84,63
Apr-84,61
May-84,59
Jun-84,58
Jul-84,52
Aug-84,48
Sep-84,53
Oct-84,55
Nov-84,42
Dec-84,38
Jan-85,48
Feb-85,55
Mar-85,67
Apr-85,60
May-85,65
Jun-85,65
Jul-85,63
Aug-85,61
Sep-85,54
Oct-85,52
Nov-85,51
Dec-85,47
Jan-86,55
Feb-86,59
Mar-86,89
Apr-86,84
May-86,75
Jun-86,66
Jul-86,57
Aug-86,52
Sep-86,60
Oct-86,54
Nov-86,48
Dec-86,49
Jan-87,53
Feb-87,59
Mar-87,73
Apr-87,72
May-87,62
Jun-87,58
Jul-87,55
Aug-87,56
Sep-87,52
Oct-87,52
Nov-87,43
Dec-87,37
Jan-88,43
Feb-88,55
Mar-88,68
Apr-88,68
May-88,64
Jun-88,65
Jul-88,57
Aug-88,59
Sep-88,54
Oct-88,57
Nov-88,43
Dec-88,42
Jan-89,52
Feb-89,51
Mar-89,58
Apr-89,60
May-89,61
Jun-89,58
Jul-89,62
Aug-89,61
Sep-89,49
Oct-89,51
Nov-89,47
Dec-89,40
Jan-90,45
Feb-90,50
Mar-90,58
Apr-90,52
May-90,50
Jun-90,50
Jul-90,46
Aug-90,46
Sep-90,38
Oct-90,37
Nov-90,34
Dec-90,29
Jan-91,30
Feb-91,40
Mar-91,51
Apr-91,50
May-91,47
Jun-91,47
Jul-91,43
Aug-91,46
Sep-91,37
Oct-91,41
Nov-91,39
Dec-91,36
Jan-92,48
Feb-92,55
Mar-92,56
Apr-92,53
May-92,52
Jun-92,53
Jul-92,52
Aug-92,56
Sep-92,51
Oct-92,48
Nov-92,42
Dec-92,42
Jan-93,44
Feb-93,50
Mar-93,60
Apr-93,66
May-93,58
Jun-93,59
Jul-93,55
Aug-93,57
Sep-93,57
Oct-93,56
Nov-93,53
Dec-93,51
Jan-94,46
Feb-94,58
Mar-94,74
Apr-94,65
May-94,65
Jun-94,55
Jul-94,52
Aug-94,59
Sep-94,54
Oct-94,57
Nov-94,45
Dec-94,40
Jan-95,47
Feb-95,47
Mar-95,60
Apr-95,58
May-95,63
Jun-95,64
Jul-95,64
Aug-95,63
Sep-95,54
Oct-95,54
Nov-95,46
Dec-95,45
Jan-96,54
Feb-96,68
Mar-96,70
Apr-96,70
May-96,69
Jun-96,65
Jul-96,66
Aug-96,73
Sep-96,62
Oct-96,56
Nov-96,54
Dec-96,51
Jan-97,61
Feb-97,69
Mar-97,81
Apr-97,70
May-97,71
Jun-97,71
Jul-97,69
Aug-97,72
Sep-97,67
Oct-97,62
Nov-97,61
Dec-97,51
Jan-98,64
Feb-98,75
Mar-98,81
Apr-98,82
May-98,82
Jun-98,83
Jul-98,75
Aug-98,75
Sep-98,68
Oct-98,69
Nov-98,70
Dec-98,61
Jan-99,67
Feb-99,76
Mar-99,84
Apr-99,86
May-99,80
Jun-99,82
Jul-99,78
Aug-99,78
Sep-99,65
Oct-99,67
Nov-99,61
Dec-99,57
Jan-00,67
Feb-00,78
Mar-00,88
Apr-00,78
May-00,77
Jun-00,71
Jul-00,76
Aug-00,73
Sep-00,70
Oct-00,71
Nov-00,63
Dec-00,65
Jan-01,72
Feb-01,85
Mar-01,94
Apr-01,84
May-01,80
Jun-01,79
Jul-01,76
Aug-01,74
Sep-01,66
Oct-01,66
Nov-01,67
Dec-01,66
Jan-02,66
Feb-02,84
Mar-02,90
Apr-02,86
May-02,88
Jun-02,84
Jul-02,82
Aug-02,90
Sep-02,82
Oct-02,77
Nov-02,73
Dec-02,70
Jan-03,76
Feb-03,82
Mar-03,98
Apr-03,91
May-03,101
Jun-03,107
Jul-03,99
Aug-03,105
Sep-03,90
Oct-03,88
Nov-03,76
Dec-03,75
Jan-04,89
Feb-04,102
Mar-04,123
Apr-04,109
May-04,115
Jun-04,105
Jul-04,96
Aug-04,102
Sep-04,94
Oct-04,101
Nov-04,84
Dec-04,83
Jan-05,92
Feb-05,109
Mar-05,127
Apr-05,116
May-05,120
Jun-05,115
Jul-05,117
Aug-05,110
Sep-05,99
Oct-05,105
Nov-05,86
Dec-05,87
Jan-06,89
Feb-06,88
Mar-06,108
Apr-06,100
May-06,102
Jun-06,98
Jul-06,83
Aug-06,88
Sep-06,80
Oct-06,74
Nov-06,71
Dec-06,71
Jan-07,66
Feb-07,68
Mar-07,80
Apr-07,83
May-07,79
Jun-07,73
Jul-07,68
Aug-07,60
Sep-07,53
Oct-07,57
Nov-07,45
Dec-07,44
Jan-08,44
Feb-08,48
Mar-08,49
Apr-08,49
May-08,49
Jun-08,45
Jul-08,43
Aug-08,38
Sep-08,35
Oct-08,32
Nov-08,27
Dec-08,26
Jan-09,24
Feb-09,29
Mar-09,31
Apr-09,32
May-09,34
Jun-09,37
Jul-09,38
Aug-09,36
Sep-09,30
Oct-09,33
Nov-09,26
Dec-09,24
Jan-10,24
Feb-10,27
Mar-10,36
Apr-10,41
May-10,26
Jun-10,28
Jul-10,26
Aug-10,23
Sep-10,25
Oct-10,23
Nov-10,20
Dec-10,23
Jan-11,21
Feb-11,22
Mar-11,28
Apr-11,30
May-11,28
Jun-11,28
Jul-11,27
Aug-11,25
Sep-11,24
Oct-11,25
Nov-11,23
Dec-11,24
Jan-12,23
Feb-12,30
Mar-12,34
Apr-12,34
May-12,35
Jun-12,34
Jul-12,33
Aug-12,31
Sep-12,30
Oct-12,29
Nov-12,28
Dec-12,28
Jan-13,32
Feb-13,36
Mar-13,41
Apr-13,43
May-13,40
Jun-13,43
Jul-13,33
Aug-13,31
Sep-13,31
Oct-13,36
Nov-13,32
Dec-13,31
Jan-14,33
Feb-14,35
Mar-14,39
Apr-14,39
May-14,43
Jun-14,38
Jul-14,35
Aug-14,36
Sep-14,37
Oct-14,38
Nov-14,31
Dec-14,35
Jan-15,39
Feb-15,45
Mar-15,46
Apr-15,48
May-15,47
Jun-15,44
Jul-15,43
Aug-15,41
Sep-15,35
Oct-15,39
Nov-15,36
Dec-15,38
Jan-16,39
Feb-16,45
Mar-16,50
Apr-16,55
May-16,53
Jun-16,50
Jul-16,54
Aug-16,46
Sep-16,44
Oct-16,46
Nov-16,40
Dec-16,39
Jan-17,45
Feb-17,51
Mar-17,61
Apr-17,56
May-17,57
Jun-17,56
Jul-17,48
Aug-17,45
Sep-17,50
Oct-17,49
Nov-17,50
Dec-17,45
Jan-18,48
Feb-18,54
Mar-18,66
Apr-18,61
May-18,62
Jun-18,56
Jul-18,52
Aug-18,47
Sep-18,46
Oct-18,43
Nov-18,44
Dec-18,38
Jan-19,49
Feb-19,57
Mar-19,68
Apr-19,64
May-19,56
Jun-19,66
Jul-19,55
Aug-19,57
Sep-19,56
Oct-19,55
Nov-19,50
Dec-19,49
Jan-20,59
Feb-20,63
Mar-20,59
Apr-20,52
May-20,64
Jun-20,79
Jul-20,85
Aug-20,81
Sep-20,77
Oct-20,78
Nov-20,61
Dec-20,63
Jan-21,77
Feb-21,70
Mar-21,83
Apr-21,74
May-21,65
Jun-21,61
Jul-21,62
Aug-21,55
Sep-21,58
Oct-21,51
Nov-21,54
Dec-21,61
Jan-22,70
Feb-22,71
Mar-22,68
Apr-22,56
May-22,58
Jun-22,48
Jul-22,44
Aug-22,51
Sep-22,44
Oct-22,43
Nov-22,41
Dec-22,47
Jan-23,55
Feb-23,56
Mar-23,62
Apr-23,60
May-23,67
Jun-23,58
Jul-23,60
Aug-23,53
Sep-23,56
Oct-23,51
Nov-23,NA
Dec-23,NA
